Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,IsPartner,IsCustomerPortal,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,Primary_Contact__c,Username__c
0010U000012MUsVQAW,,,Chandra Puma,Customer,,10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",(555) 983-2414,,,,/services/images/photo/0010U000012MUsVQAW,,,,,,,,,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,,Pending,,,,,,,,,,,chandra.puma
0010U000012MUsWQAW,,,Nicholas Gritton,Customer,,10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",(555) 932-2834,,,,/services/images/photo/0010U000012MUsWQAW,,,,,,,,,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,,Pending,,,,,,,,,,,nicholas.gritton
0010U000012MUsXQAW,,,Fernando Fredenburg,Customer,,112 N El Rancho Rd,Santa Fe,NM,87501,USA,,,,"{""city"":""Santa Fe"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87501"",""state"":""NM"",""street"":""112 N El Rancho Rd""}",112 N El Rancho Rd,Santa Fe,NM,87501,USA,,,,"{""city"":""Santa Fe"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87501"",""state"":""NM"",""street"":""112 N El Rancho Rd""}",(555) 127-1903,,,,/services/images/photo/0010U000012MUsXQAW,,,,,,,,,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,,Pending,,,,,,,,,,,fernando.fredenburg
0010U000012MUsYQAW,,,Norah Denzin,Customer,,4561 Springdale Rd,Millbrook,AL,36054,USA,,,,"{""city"":""Millbrook"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36054"",""state"":""AL"",""street"":""4561 Springdale Rd""}",4561 Springdale Rd,Millbrook,AL,36054,USA,,,,"{""city"":""Millbrook"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36054"",""state"":""AL"",""street"":""4561 Springdale Rd""}",(555) 663-3895,,,,/services/images/photo/0010U000012MUsYQAW,,,,,,,,,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,,Pending,,,,,,,,,,,norah.denzin
0010U000012MUsZQAW,,,Karoline Jahncke,Customer,,175 Dunlap Road,Craigmont,ID,83523,USA,,,,"{""city"":""Craigmont"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83523"",""state"":""ID"",""street"":""175 Dunlap Road""}",175 Dunlap Road,Craigmont,ID,83523,USA,,,,"{""city"":""Craigmont"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83523"",""state"":""ID"",""street"":""175 Dunlap Road""}",(555) 802-6083,,,,/services/images/photo/0010U000012MUsZQAW,,,,,,,,,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,,Pending,,,,,,,,,,,karoline.jahncke
0010U000012MUsaQAG,,,Craig Tischler,Customer,,551 Oakdale Rd,Jamestown,NC,27282,USA,,,,"{""city"":""Jamestown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27282"",""state"":""NC"",""street"":""551 Oakdale Rd""}",551 Oakdale Rd,Jamestown,NC,27282,USA,,,,"{""city"":""Jamestown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27282"",""state"":""NC"",""street"":""551 Oakdale Rd""}",(555) 645-7195,,,,/services/images/photo/0010U000012MUsaQAG,,,,,,,,,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,,Pending,,,,,,,,,,,craig.tischler
0010U000012MUsbQAG,,,Denese Ngvyen,Customer,,10 Bay Street,Toronto,ON,M5J 2R8,Canada,,,,"{""city"":""Toronto"",""country"":""Canada"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""M5J 2R8"",""state"":""ON"",""street"":""10 Bay Street""}",10 Bay Street,Toronto,ON,M5J 2R8,Canada,,,,"{""city"":""Toronto"",""country"":""Canada"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""M5J 2R8"",""state"":""ON"",""street"":""10 Bay Street""}",(555) 820-4639,,,,/services/images/photo/0010U000012MUsbQAG,,,,,,,,,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,,Pending,,,,,,,,,,,denese.ngvyen
0010U000012MUscQAG,,,Wei Droesch,Customer,,900 Bulldog Run,Rolla,MO,65401,USA,,,,"{""city"":""Rolla"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""65401"",""state"":""MO"",""street"":""900 Bulldog Run""}",900 Bulldog Run,Rolla,MO,65401,USA,,,,"{""city"":""Rolla"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""65401"",""state"":""MO"",""street"":""900 Bulldog Run""}",(555) 629-2327,,,,/services/images/photo/0010U000012MUscQAG,,,,,,,,,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,,Pending,,,,,,,,,,,wei.droesch
0010U000012MUsdQAG,,,Tai Dalman,Customer,,361 Centennial Parkway,Louisville,CO,80027,USA,,,,"{""city"":""Louisville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80027"",""state"":""CO"",""street"":""361 Centennial Parkway""}",361 Centennial Parkway,Louisville,CO,80027,USA,,,,"{""city"":""Louisville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80027"",""state"":""CO"",""street"":""361 Centennial Parkway""}",(555) 459-7592,,,,/services/images/photo/0010U000012MUsdQAG,,,,,,,,,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,,Pending,,,,,,,,,,,tai.dalman
0010U000012MUseQAG,,,Leonie Kinzel,Customer,,6010 London Dr,Sunset Valley,TX,78745,USA,,,,"{""city"":""Sunset Valley"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78745"",""state"":""TX"",""street"":""6010 London Dr""}",6010 London Dr,Sunset Valley,TX,78745,USA,,,,"{""city"":""Sunset Valley"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78745"",""state"":""TX"",""street"":""6010 London Dr""}",(555) 196-9953,,,,/services/images/photo/0010U000012MUseQAG,,,,,,,,,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,,Pending,,,,,,,,,,,leonie.kinzel
