Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId,Username__c
0030U00000qIjtbQAC,,,0010U000012MUrgQAG,Cerza,Melita,,Melita Cerza,111 Monument Circle,Indianapolis,IN,46204,USA,,,,"{""city"":""Indianapolis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46204"",""state"":""IN"",""street"":""111 Monument Circle""}",111 Monument Circle,Indianapolis,IN,46204,USA,,,,"{""city"":""Indianapolis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46204"",""state"":""IN"",""street"":""111 Monument Circle""}",(555) 458-4618,,(555) 346-3251,(555) 687-9974,,,,melita.cerza@example.com,,,,Other,1957-02-25,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,/services/images/photo/0030U00000qIjtbQAC,,,Pending,,
0030U00000qIjuQQAS,,,0010U000012MUsVQAW,Puma,Chandra,,Chandra Puma,10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",(555) 983-2414,,(555) 325-6265,(555) 700-7169,,,,chandra.puma@example.com,,,,Phone Inquiry,1985-05-18,,0050U000003lEZMQA2,2020-05-30T05:27:55.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:55.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:55.000+0000,,,,2020-05-30T05:27:55.000+0000,2020-05-30T05:27:55.000+0000,,,,/services/images/photo/0030U00000qIjuQQAS,,,Pending,,
0030U00000qIjuRQAS,,,0010U000012MUsWQAW,Gritton,Nicholas,,Nicholas Gritton,10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",(555) 932-2834,,(555) 791-2663,(555) 383-5395,,,,nicholas.gritton@example.com,,,,Phone Inquiry,1957-05-21,,0050U000003lEZMQA2,2020-05-30T05:27:55.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:55.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:55.000+0000,,,,2020-05-30T05:27:55.000+0000,2020-05-30T05:27:55.000+0000,,,,/services/images/photo/0030U00000qIjuRQAS,,,Pending,,
0030U00000qIjtCQAS,,,0010U000012MUrHQAW,Lepak,Misty,,Misty Lepak,900 Bulldog Run,Rolla,MO,65401,USA,,,,"{""city"":""Rolla"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""65401"",""state"":""MO"",""street"":""900 Bulldog Run""}",900 Bulldog Run,Rolla,MO,65401,USA,,,,"{""city"":""Rolla"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""65401"",""state"":""MO"",""street"":""900 Bulldog Run""}",(555) 148-6219,,(555) 909-2342,(555) 705-1800,,,,misty.lepak@example.com,,,,Web,2005-11-10,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,/services/images/photo/0030U00000qIjtCQAS,,,Pending,,
0030U00000qIjtDQAS,,,0010U000012MUrIQAW,Like,Chu,,Chu Like,307 Bentley Manor,Shavano Park,TX,78249,USA,,,,"{""city"":""Shavano Park"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78249"",""state"":""TX"",""street"":""307 Bentley Manor""}",307 Bentley Manor,Shavano Park,TX,78249,USA,,,,"{""city"":""Shavano Park"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78249"",""state"":""TX"",""street"":""307 Bentley Manor""}",(555) 751-8636,,(555) 317-3778,(555) 949-2227,,,,chu.like@example.com,,,,Other,2005-03-12,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,/services/images/photo/0030U00000qIjtDQAS,,,Pending,,
0030U00000qIjtEQAS,,,0010U000012MUrJQAW,Flook,Marco,,Marco Flook,4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",(555) 162-1383,,(555) 740-5763,(555) 556-6527,,,,marco.flook@example.com,,,,Phone Inquiry,1957-11-06,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,/services/images/photo/0030U00000qIjtEQAS,,,Pending,,
0030U00000qIjtFQAS,,,0010U000012MUrKQAW,Handkins,Ed,,Ed Handkins,23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",(555) 862-9358,,(555) 998-6577,(555) 399-6586,,,,ed.handkins@example.com,,,,Partner Referral,1949-01-05,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,/services/images/photo/0030U00000qIjtFQAS,,,Pending,,
0030U00000qIjtGQAS,,,0010U000012MUrLQAW,Petruzzi,Judy,,Judy Petruzzi,6010 London Dr,Sunset Valley,TX,78745,USA,,,,"{""city"":""Sunset Valley"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78745"",""state"":""TX"",""street"":""6010 London Dr""}",6010 London Dr,Sunset Valley,TX,78745,USA,,,,"{""city"":""Sunset Valley"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78745"",""state"":""TX"",""street"":""6010 London Dr""}",(555) 786-6724,,(555) 709-2357,(555) 371-5601,,,,judy.petruzzi@example.com,,,,Phone Inquiry,2002-07-23,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,/services/images/photo/0030U00000qIjtGQAS,,,Pending,,
0030U00000qIjtHQAS,,,0010U000012MUrMQAW,Kenison,Duncan,,Duncan Kenison,14878 Lost River Court,Hughesville,MD,20637,USA,,,,"{""city"":""Hughesville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""20637"",""state"":""MD"",""street"":""14878 Lost River Court""}",14878 Lost River Court,Hughesville,MD,20637,USA,,,,"{""city"":""Hughesville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""20637"",""state"":""MD"",""street"":""14878 Lost River Court""}",(555) 470-6076,,(555) 169-9901,(555) 880-1631,,,,duncan.kenison@example.com,,,,Other,2002-09-26,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,/services/images/photo/0030U00000qIjtHQAS,,,Pending,,
0030U00000qIjtIQAS,,,0010U000012MUrNQAW,Bednarz,Hulda,,Hulda Bednarz,658 Gibraltar Ct,Milpitas,CA,95035,USA,,,,"{""city"":""Milpitas"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95035"",""state"":""CA"",""street"":""658 Gibraltar Ct""}",658 Gibraltar Ct,Milpitas,CA,95035,USA,,,,"{""city"":""Milpitas"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95035"",""state"":""CA"",""street"":""658 Gibraltar Ct""}",(555) 385-4303,,(555) 998-4350,(555) 291-3431,,,,hulda.bednarz@example.com,,,,Partner Referral,1985-05-29,,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,0050U000003lEZMQA2,2020-05-30T05:27:54.000+0000,,,,2020-05-30T05:27:54.000+0000,2020-05-30T05:27:54.000+0000,,,,/services/images/photo/0030U00000qIjtIQAS,,,Pending,,
