Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Account__c,Cosigner_Employer__c,Cosigner_FirstName__c,Cosigner_LastName__c,Cosigner_SSN__c,Customer__c,Downpayment__c,Employer__c,FirstName__c,FolderID__c,Interest__c,LastName__c,Price__c,SSN__c,Status__c,Terms__c,Vehicle__c
a031D000004qbRgQAI,0051D000006P1N1QAK,,I-00653,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF0ZQAW,,,,,0031D00000ZCG8AQAX,5000,Pure Aloe,Alec,,5.42,Helzer,36875,555552314,Pending,72,a041D0000058X3tQAE
a031D000004qbRhQAI,0051D000006P1N1QAK,,I-00654,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF0aQAG,,,,,0031D00000ZCG8BQAX,10000,Northern Trail Outfitters,Kirk,,3.2,Umin,39875,555558782,Pending,48,a041D0000058X3uQAE
a031D000004qbRiQAI,0051D000006P1N1QAK,,I-00655,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF0bQAG,,,,,0031D00000ZCG8CQAX,10000,Pure Aloe,Samella,,4.45,Sinotte,57675,555556034,Pending,36,a041D0000058X3vQAE
a031D000004qbRjQAI,0051D000006P1N1QAK,,I-00656,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF0gQAG,,,,,0031D00000ZCG8HQAX,5000,Easy Spaces,Phyllis,,5.5,Aroca,54100,555552662,Pending,72,a041D0000058X40QAE
a031D000004qbRkQAI,0051D000006P1N1QAK,,I-00657,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF0oQAG,,,,,0031D00000ZCG8PQAX,10000,Redwoods Insurance,Josef,,5.39,Hanafin,38900,555552529,Pending,36,a041D0000058X48QAE
a031D000004qbRlQAI,0051D000006P1N1QAK,,I-00658,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF0qQAG,,,,,0031D00000ZCG8RQAX,5000,Redwoods Insurance,Rachal,,2.81,Elg,50400,555557890,Declined,24,a041D0000058X4AQAU
a031D000004qbRmQAI,0051D000006P1N1QAK,,I-00659,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF0vQAG,,,,,0031D00000ZCG8WQAX,5000,E-Bikes,Herminia,,2.3,Berling,51500,555555547,Pending,12,a041D0000058X4FQAU
a031D000004qbRnQAI,0051D000006P1N1QAK,,I-00660,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF0zQAG,,,,,0031D00000ZCG8aQAH,3000,Easy Spaces,Alida,,3.27,Plateroti,49675,555559375,Pending,84,a041D0000058X4JQAU
a031D000004qbRoQAI,0051D000006P1N1QAK,,I-00661,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF10QAG,,,,,0031D00000ZCG8bQAH,10000,E-Bikes,Blanca,,6.63,Speth,53900,555557811,Pending,12,a041D0000058X4KQAU
a031D000004qbRpQAI,0051D000006P1N1QAK,,I-00662,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF11QAG,,,,,0031D00000ZCG8cQAH,15000,DreamInvest,Cristie,,6.1,Sundstrom,36175,555551476,Pending,72,a041D0000058X4LQAU
a031D000004qbRqQAI,0051D000006P1N1QAK,,I-00663,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF13QAG,,,,,0031D00000ZCG8eQAH,15000,E-Bikes,Charity,,6.46,Girres,38375,555558334,Pending,48,a041D0000058X4NQAU
a031D000004qbRrQAI,0051D000006P1N1QAK,,I-00664,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF14QAG,,,,,0031D00000ZCG8fQAH,10000,DreamInvest,Weston,,6.68,Fidler,33375,555553212,Declined,48,a041D0000058X4OQAU
a031D000004qbRsQAI,0051D000006P1N1QAK,,I-00665,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF16QAG,,,,,0031D00000ZCG8hQAH,5000,Pure Aloe,Janyce,,7.47,Hohenbrink,54100,555556179,Declined,36,a041D0000058X4QQAU
a031D000004qbRtQAI,0051D000006P1N1QAK,,I-00666,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF18QAG,,,,,0031D00000ZCG8jQAH,10000,DreamInvest,Thi,,6.28,Zener,61175,555553407,Declined,24,a041D0000058X4SQAU
a031D000004qbRuQAI,0051D000006P1N1QAK,,I-00667,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF19QAG,,,,,0031D00000ZCG8kQAH,5000,Pure Aloe,Syble,,5.41,Ramlall,66900,555556160,Declined,84,a041D0000058X4TQAU
a031D000004qbRvQAI,0051D000006P1N1QAK,,I-00668,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF1BQAW,,,,,0031D00000ZCG8mQAH,1000,Redwoods Insurance,Ava,,6.67,Pettibone,61800,555557210,Pending,84,a041D0000058X4VQAU
a031D000004qbRwQAI,0051D000006P1N1QAK,,I-00669,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF1DQAW,,,,,0031D00000ZCG8oQAH,10000,Pure Aloe,Freddie,,4.5,Bufton,37800,555554854,Declined,48,a041D0000058X4XQAU
a031D000004qbRyQAI,0051D000006P1N1QAK,,I-00671,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF1MQAW,,,,,0031D00000ZCG8xQAH,15000,DreamInvest,Keturah,,4.1,Arney,46100,555558716,Pending,48,a041D0000058X4gQAE
a031D000004qbRzQAI,0051D000006P1N1QAK,,I-00672,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF1NQAW,,,,,0031D00000ZCG8yQAH,10000,Northern Trail Outfitters,Warner,,4.35,Olten,45000,555554013,Pending,24,a041D0000058X4hQAE
a031D000004qbS0QAI,0051D000006P1N1QAK,,I-00673,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF1OQAW,,,,,0031D00000ZCG8zQAH,15000,Pure Aloe,Dede,,4.9,Gillich,38775,555555003,Pending,12,a041D0000058X4iQAE
a031D000004qbS1QAI,0051D000006P1N1QAK,,I-00674,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF1QQAW,,,,,0031D00000ZCG91QAH,5000,DreamHouse,Merle,,4.87,Dibernardo,47275,555551771,Declined,72,a041D0000058X4kQAE
a031D000004qbS2QAI,0051D000006P1N1QAK,,I-00675,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF1RQAW,,,,,0031D00000ZCG92QAH,10000,DreamHouse,Nathan,,7.29,Burggraf,44100,555551148,Pending,72,a041D0000058X4lQAE
a031D000004qbS3QAI,0051D000006P1N1QAK,,I-00676,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF1TQAW,,,,,0031D00000ZCG94QAH,5000,Pure Aloe,Celina,,5.58,Viera,50275,555551281,Pending,36,a041D0000058X4nQAE
a031D000004qbS4QAI,0051D000006P1N1QAK,,I-00677,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF1ZQAW,,,,,0031D00000ZCG9AQAX,3000,DreamHouse,Eddie,,7.71,Whittle,39400,555553085,Pending,24,a041D0000058X4tQAE
a031D000004qbS5QAI,0051D000006P1N1QAK,,I-00678,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF1bQAG,,,,,0031D00000ZCG9CQAX,5000,DreamHouse,Hulda,,2.33,Pomeroy,56500,555553881,Pending,72,a041D0000058X4vQAE
a031D000004qbS6QAI,0051D000006P1N1QAK,,I-00679,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF1dQAG,,,,,0031D00000ZCG9EQAX,10000,Redwoods Insurance,Alina,,2.18,Duponte,56875,555553657,Pending,24,a041D0000058X4xQAE
a031D000004qbS7QAI,0051D000006P1N1QAK,,I-00680,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:58:20.000+0000,,,,0011D00000pVF1fQAG,,,,,0031D00000ZCG9GQAX,3000,DreamHouse,Sung,,2.5,Dolecki,48300,555557311,Pending,36,a041D0000058X4zQAE
