Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,IsPartner,IsCustomerPortal,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,Primary_Contact__c,Username__c
0011D00000pVCZRQA4,,,Paulene Fricker,Customer,,541 SW Georgetown Way,Beaverton,OR,97006,USA,,,,"{""city"":""Beaverton"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97006"",""state"":""OR"",""street"":""541 SW Georgetown Way""}",541 SW Georgetown Way,Beaverton,OR,97006,USA,,,,"{""city"":""Beaverton"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97006"",""state"":""OR"",""street"":""541 SW Georgetown Way""}",(555) 660-3850,,,,/services/images/photo/0011D00000pVCZRQA4,,,,,,,,,,0051D000006P1N1QAK,2021-03-17T16:57:50.000+0000,0051D000006P1N1QAK,2021-03-17T16:57:50.000+0000,0051D000006P1N1QAK,2021-03-17T16:57:51.000+0000,,,,,,,,Pending,,,,,,,,,,,paulene.fricker
0011D00000pVCZSQA4,,,Betsey Ringdahl,Customer,,3604 84th St E,Tacoma,WA,98446,USA,,,,"{""city"":""Tacoma"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98446"",""state"":""WA"",""street"":""3604 84th St E""}",3604 84th St E,Tacoma,WA,98446,USA,,,,"{""city"":""Tacoma"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98446"",""state"":""WA"",""street"":""3604 84th St E""}",(555) 789-8623,,,,/services/images/photo/0011D00000pVCZSQA4,,,,,,,,,,0051D000006P1N1QAK,2021-03-17T16:57:50.000+0000,0051D000006P1N1QAK,2021-03-17T16:57:50.000+0000,0051D000006P1N1QAK,2021-03-17T16:57:51.000+0000,,,,,,,,Pending,,,,,,,,,,,betsey.ringdahl
0011D00000pVCZTQA4,,,Halley Grollman,Customer,,4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",(555) 432-4936,,,,/services/images/photo/0011D00000pVCZTQA4,,,,,,,,,,0051D000006P1N1QAK,2021-03-17T16:57:50.000+0000,0051D000006P1N1QAK,2021-03-17T16:57:50.000+0000,0051D000006P1N1QAK,2021-03-17T16:57:51.000+0000,,,,,,,,Pending,,,,,,,,,,,halley.grollman
0011D00000pVDk0QAG,,,Sample Account for Entitlements,,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0011D00000pVDk0QAG,,,,,,,,,,0051D000006ViVYQA0,2021-03-17T16:37:37.000+0000,0051D000006ViVYQA0,2021-03-17T16:37:37.000+0000,0051D000006ViVYQA0,2021-03-17T16:37:37.000+0000,,,,,,,,Pending,,,,,,,,,,,
0011D00000pVDptQAG,,,Chandra Puma,Customer,,10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",(555) 983-2414,,,,/services/images/photo/0011D00000pVDptQAG,,,,,,,,,,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,,,,,,,,Pending,,,,,,,,,,,chandra.puma
0011D00000pVDpuQAG,,,Nicholas Gritton,Customer,,10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",(555) 932-2834,,,,/services/images/photo/0011D00000pVDpuQAG,,,,,,,,,,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,,,,,,,,Pending,,,,,,,,,,,nicholas.gritton
0011D00000pVDpvQAG,,,Fernando Fredenburg,Customer,,112 N El Rancho Rd,Santa Fe,NM,87501,USA,,,,"{""city"":""Santa Fe"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87501"",""state"":""NM"",""street"":""112 N El Rancho Rd""}",112 N El Rancho Rd,Santa Fe,NM,87501,USA,,,,"{""city"":""Santa Fe"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87501"",""state"":""NM"",""street"":""112 N El Rancho Rd""}",(555) 127-1903,,,,/services/images/photo/0011D00000pVDpvQAG,,,,,,,,,,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,,,,,,,,Pending,,,,,,,,,,,fernando.fredenburg
0011D00000pVDpwQAG,,,Norah Denzin,Customer,,4561 Springdale Rd,Millbrook,AL,36054,USA,,,,"{""city"":""Millbrook"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36054"",""state"":""AL"",""street"":""4561 Springdale Rd""}",4561 Springdale Rd,Millbrook,AL,36054,USA,,,,"{""city"":""Millbrook"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36054"",""state"":""AL"",""street"":""4561 Springdale Rd""}",(555) 663-3895,,,,/services/images/photo/0011D00000pVDpwQAG,,,,,,,,,,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,,,,,,,,Pending,,,,,,,,,,,norah.denzin
0011D00000pVDpxQAG,,,Karoline Jahncke,Customer,,175 Dunlap Road,Craigmont,ID,83523,USA,,,,"{""city"":""Craigmont"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83523"",""state"":""ID"",""street"":""175 Dunlap Road""}",175 Dunlap Road,Craigmont,ID,83523,USA,,,,"{""city"":""Craigmont"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83523"",""state"":""ID"",""street"":""175 Dunlap Road""}",(555) 802-6083,,,,/services/images/photo/0011D00000pVDpxQAG,,,,,,,,,,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,,,,,,,,Pending,,,,,,,,,,,karoline.jahncke
0011D00000pVDpyQAG,,,Craig Tischler,Customer,,551 Oakdale Rd,Jamestown,NC,27282,USA,,,,"{""city"":""Jamestown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27282"",""state"":""NC"",""street"":""551 Oakdale Rd""}",551 Oakdale Rd,Jamestown,NC,27282,USA,,,,"{""city"":""Jamestown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27282"",""state"":""NC"",""street"":""551 Oakdale Rd""}",(555) 645-7195,,,,/services/images/photo/0011D00000pVDpyQAG,,,,,,,,,,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:10.000+0000,,,,,,,,Pending,,,,,,,,,,,craig.tischler
