Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId,Username__c
0031D00000ZCFW8QAP,,,0011D00000pVCZRQA4,Fricker,Paulene,,Paulene Fricker,541 SW Georgetown Way,Beaverton,OR,97006,USA,,,,"{""city"":""Beaverton"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97006"",""state"":""OR"",""street"":""541 SW Georgetown Way""}",541 SW Georgetown Way,Beaverton,OR,97006,USA,,,,"{""city"":""Beaverton"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97006"",""state"":""OR"",""street"":""541 SW Georgetown Way""}",(555) 660-3850,,(555) 598-8691,(555) 993-6858,,,,paulene.fricker@example.com,,,,Phone Inquiry,1974-02-24,,0051D000006P1N1QAK,2021-03-17T16:57:55.000+0000,0051D000006P1N1QAK,2021-03-17T16:57:55.000+0000,0051D000006P1N1QAK,2021-03-17T16:57:55.000+0000,,,,,,,,,/services/images/photo/0031D00000ZCFW8QAP,,,Pending,,
0031D00000ZCFW9QAP,,,0011D00000pVCZSQA4,Ringdahl,Betsey,,Betsey Ringdahl,3604 84th St E,Tacoma,WA,98446,USA,,,,"{""city"":""Tacoma"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98446"",""state"":""WA"",""street"":""3604 84th St E""}",3604 84th St E,Tacoma,WA,98446,USA,,,,"{""city"":""Tacoma"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98446"",""state"":""WA"",""street"":""3604 84th St E""}",(555) 789-8623,,(555) 371-1113,(555) 568-5545,,,,betsey.ringdahl@example.com,,,,Phone Inquiry,1970-01-27,,0051D000006P1N1QAK,2021-03-17T16:57:55.000+0000,0051D000006P1N1QAK,2021-03-17T16:57:55.000+0000,0051D000006P1N1QAK,2021-03-17T16:57:55.000+0000,,,,,,,,,/services/images/photo/0031D00000ZCFW9QAP,,,Pending,,
0031D00000ZCFWAQA5,,,0011D00000pVCZTQA4,Grollman,Halley,,Halley Grollman,4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",(555) 432-4936,,(555) 324-8235,(555) 466-8177,,,,halley.grollman@example.com,,,,Phone Inquiry,1984-09-04,,0051D000006P1N1QAK,2021-03-17T16:57:55.000+0000,0051D000006P1N1QAK,2021-03-17T16:57:55.000+0000,0051D000006P1N1QAK,2021-03-17T16:57:55.000+0000,,,,,,,,,/services/images/photo/0031D00000ZCFWAQA5,,,Pending,,
0031D00000ZCFYqQAP,,,0011D00000pVDxyQAG,Cerza,Melita,,Melita Cerza,111 Monument Circle,Indianapolis,IN,46204,USA,,,,"{""city"":""Indianapolis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46204"",""state"":""IN"",""street"":""111 Monument Circle""}",111 Monument Circle,Indianapolis,IN,46204,USA,,,,"{""city"":""Indianapolis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46204"",""state"":""IN"",""street"":""111 Monument Circle""}",(555) 458-4618,,(555) 346-3251,(555) 687-9974,,,,melita.cerza@example.com,,,,Other,1957-02-25,,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,,,,,,,,,/services/images/photo/0031D00000ZCFYqQAP,,,Pending,,
0031D00000ZCFYrQAP,,,0011D00000pVDptQAG,Puma,Chandra,,Chandra Puma,10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",(555) 983-2414,,(555) 325-6265,(555) 700-7169,,,,chandra.puma@example.com,,,,Phone Inquiry,1985-05-18,,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,,,,,,,,,/services/images/photo/0031D00000ZCFYrQAP,,,Pending,,
0031D00000ZCFYsQAP,,,0011D00000pVDpuQAG,Gritton,Nicholas,,Nicholas Gritton,10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",(555) 932-2834,,(555) 791-2663,(555) 383-5395,,,,nicholas.gritton@example.com,,,,Phone Inquiry,1957-05-21,,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,,,,,,,,,/services/images/photo/0031D00000ZCFYsQAP,,,Pending,,
0031D00000ZCFYtQAP,,,0011D00000pVDxaQAG,Lepak,Misty,,Misty Lepak,900 Bulldog Run,Rolla,MO,65401,USA,,,,"{""city"":""Rolla"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""65401"",""state"":""MO"",""street"":""900 Bulldog Run""}",900 Bulldog Run,Rolla,MO,65401,USA,,,,"{""city"":""Rolla"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""65401"",""state"":""MO"",""street"":""900 Bulldog Run""}",(555) 148-6219,,(555) 909-2342,(555) 705-1800,,,,misty.lepak@example.com,,,,Web,2005-11-10,,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,,,,,,,,,/services/images/photo/0031D00000ZCFYtQAP,,,Pending,,
0031D00000ZCFYuQAP,,,0011D00000pVDxbQAG,Like,Chu,,Chu Like,307 Bentley Manor,Shavano Park,TX,78249,USA,,,,"{""city"":""Shavano Park"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78249"",""state"":""TX"",""street"":""307 Bentley Manor""}",307 Bentley Manor,Shavano Park,TX,78249,USA,,,,"{""city"":""Shavano Park"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78249"",""state"":""TX"",""street"":""307 Bentley Manor""}",(555) 751-8636,,(555) 317-3778,(555) 949-2227,,,,chu.like@example.com,,,,Other,2005-03-12,,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,,,,,,,,,/services/images/photo/0031D00000ZCFYuQAP,,,Pending,,
0031D00000ZCFYvQAP,,,0011D00000pVDxcQAG,Flook,Marco,,Marco Flook,4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",(555) 162-1383,,(555) 740-5763,(555) 556-6527,,,,marco.flook@example.com,,,,Phone Inquiry,1957-11-06,,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,,,,,,,,,/services/images/photo/0031D00000ZCFYvQAP,,,Pending,,
0031D00000ZCFYwQAP,,,0011D00000pVDxdQAG,Handkins,Ed,,Ed Handkins,23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",(555) 862-9358,,(555) 998-6577,(555) 399-6586,,,,ed.handkins@example.com,,,,Partner Referral,1949-01-05,,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:20.000+0000,,,,,,,,,/services/images/photo/0031D00000ZCFYwQAP,,,Pending,,
